holiday,temp,rain,snow,weather,year,month,day,hour,minute,second,actual,predicted
7,278.024,0,0,1,2016,10,26,21,0,0,1970,4093.79569
7,268.62,0,0,0,2018,4,17,7,0,0,6208,2688.048112
7,295.95,0.51,0,10,2016,8,23,20,0,0,2665,4159.676364
7,298.14,0,0,1,2017,9,15,12,0,0,5362,3525.656689
7,280.86,0,0,0,2018,3,17,16,0,0,4708,3760.621403
7,269.69,0,0,1,2018,3,31,15,0,0,4400,3470.55263
7,288.77,0.25,0,4,2013,6,11,1,0,0,378,2371.279288
7,288.91,0,0,4,2013,5,9,21,0,0,3135,4341.766287
7,298.3,0,0,3,2018,7,9,22,0,0,2071,4499.903519
7,295.24,0,0,0,2016,9,3,19,0,0,2744,4205.03159
7,292.29,0,0,1,2016,4,17,0,0,0,1388,2360.145193
7,294.82,0,0,1,2017,7,12,8,0,0,6098,3122.32752
7,291.14,0,0,1,2012,10,2,13,0,0,4918,3577.556098
7,281.69,0,0,5,2016,11,28,17,0,0,5339,3679.666503
7,270.35,0,0,1,2014,4,2,0,0,0,564,2078.783134
7,285.69,0,0,5,2013,5,29,10,0,0,4501,3186.495842
7,297.99,0.25,0,4,2013,7,26,15,0,0,5975,3839.660181
7,290.02,0,0,1,2014,4,20,21,0,0,2975,4395.449064
7,274.22,0,0,0,2018,2,17,14,0,0,4881,3484.639911
7,289.14,0,0,0,2014,5,29,2,0,0,287,2519.272929
7,295.86,0,0,0,2018,7,21,11,0,0,4418,3423.785057
7,288.67,0,0,4,2013,5,9,23,0,0,1186,4533.292717
7,290.84,0,0,0,2015,7,20,23,0,0,1108,4557.251202
7,302.22,0,0,0,2017,9,22,21,0,0,3144,4470.562171
7,280.04,0,0,1,2014,4,18,23,0,0,1924,4446.722559
7,276.13,0,0,4,2013,10,20,16,0,0,4623,3575.705408
7,281.15,0,0,0,2018,4,12,18,0,0,5064,3948.983906
7,271.22,0,0,3,2018,1,26,2,0,0,421,2232.763374
7,280.81,0,0,1,2016,11,17,6,0,0,5870,2664.979568
7,275.46,0,0,1,2017,2,14,16,0,0,6530,3697.881054
7,301.08,0,0,0,2017,7,29,17,0,0,4517,4088.754292
7,278.38,0,0,1,2012,10,9,8,0,0,5765,2896.29289
7,276.08,0,0,1,2015,12,11,20,0,0,3276,3963.085051
7,291.51,0,0,1,2018,6,5,10,0,0,4592,3280.441247
7,275.95,0,0,0,2018,3,17,21,0,0,3351,4176.460392
7,281.36,0,0,0,2013,4,5,18,0,0,4995,4018.59309
7,291.58,0,0,1,2017,10,16,17,0,0,6057,3900.278383
7,295.56,0,0,1,2013,5,9,12,0,0,5180,3605.901898
7,263.35,0,0,0,2018,4,6,23,0,0,2205,4182.675644
7,293.2,0.28,0,2,2016,9,7,10,0,0,4056,3263.73259
7,279.82,0,0,0,2016,11,13,1,0,0,605,2181.935843
7,267.62,0,0,0,2018,3,9,22,0,0,2649,4160.526336
7,276.48,0,0,0,2013,10,25,10,0,0,4903,3050.042158
7,291.57,0,0,0,2013,8,13,9,0,0,5228,3217.566401
7,270.62,0,0,0,2017,2,6,12,0,0,4629,3260.231353
7,286.84,0,0,0,2013,6,15,5,0,0,766,2788.468246
7,264.93,0,0,1,2013,12,21,9,0,0,3307,2740.870503
7,269.27,0,0,5,2017,1,30,10,0,0,3901,2962.387571
7,286.74,0,0,4,2013,9,15,3,0,0,289,2484.26164
7,289.3,1.1,0,4,2018,8,28,7,0,0,6147,2855.21132
7,251.9,0,0,0,2014,1,23,16,0,0,5953,3410.857916
7,272.29,0,0,8,2018,3,20,15,0,0,5690,3415.804028
7,293.56,0,0,1,2014,5,24,9,0,0,3476,3256.767876
7,286.22,0,0,5,2016,4,21,9,0,0,4648,3085.479263
7,259.35,0,0,0,2017,3,10,9,0,0,5267,2782.798361
7,284.87,0,0,0,2013,5,8,8,0,0,5351,3075.540075
7,285.96,0,0,1,2012,11,18,13,0,0,4075,3469.260141
7,300.01,0,0,1,2017,7,26,15,0,0,5790,3866.313926
7,273.69,0,0,1,2013,4,14,21,0,0,1950,4174.898623
7,295.72,0,0,1,2013,8,5,16,0,0,6217,3954.215913
7,292.02,0,0,1,2017,7,21,4,0,0,813,2682.048491
7,299.71,0,0,1,2017,7,8,15,0,0,4238,3880.528958
7,271.94,0,0,3,2013,2,10,13,0,0,2059,3375.732421
7,268.86,0,0,0,2017,11,23,9,0,0,2227,2779.728903
7,271.14,0,0,1,2016,3,28,5,0,0,2584,2543.396375
7,277.11,0,0,1,2012,11,4,13,0,0,4043,3354.410814
7,286.86,0,0,0,2013,9,26,6,0,0,5476,2826.687868
7,254.28,0,0,1,2017,12,25,16,0,0,3045,3216.291384
7,293.68,0,0,5,2018,8,20,6,0,0,5352,2814.945932
7,284.82,0,0,5,2017,8,12,7,0,0,1939,2803.129176
7,283.92,0,0,0,2015,10,20,5,0,0,2869,2652.614267
7,283.01,0,0,0,2013,5,24,1,0,0,414,2349.213492
7,289.48,0,0,5,2018,6,6,8,0,0,5301,2995.223959
7,295.29,0,0,0,2018,8,13,3,0,0,348,2627.514761
7,290.08,0,0,4,2017,10,1,17,0,0,4110,3849.242903
7,297.09,0,0,0,2017,7,2,14,0,0,3842,3765.800971
7,274.41,0,0,1,2013,3,15,12,0,0,5147,3322.810651
7,290.77,0,0,1,2013,10,10,22,0,0,3442,4429.671825
7,271.22,0,0,8,2016,3,19,1,0,0,669,2059.692847
7,293.72,0,0,4,2018,6,9,11,0,0,4085,3361.500535
7,275.15,0,0,0,2016,2,27,0,0,0,1420,2146.386631
7,270.4,0,0,0,2014,2,19,0,0,0,527,2108.969534
7,265.94,0,0,0,2012,11,14,2,0,0,252,2123.053039
7,301.85,0,0,1,2016,8,1,16,0,0,5940,4012.334843
7,300.53,1.27,0,4,2018,8,27,15,0,0,5661,3800.490803
7,283.2,0,0,0,2015,9,13,2,0,0,615,2372.851089
7,275.95,0,0,1,2018,4,28,2,0,0,531,2281.331828
7,279.23,0,0,2,2016,3,26,19,0,0,3348,4014.033516
7,305.26,0,0,1,2013,7,17,17,0,0,6659,4194.805048
7,262.56,0,0,0,2013,3,23,2,0,0,580,2181.099963
7,294.86,0,0,4,2017,9,24,23,0,0,2973,4496.497001
7,265.429,0,0,0,2017,2,15,3,0,0,335,2297.432199
7,290.55,0,0,5,2017,8,27,5,0,0,562,2676.322994
7,295.03,0,0,4,2016,8,12,1,0,0,556,2393.950126
7,296.51,0,0,0,2018,8,14,2,0,0,284,2546.791329
7,294.08,0,0,1,2017,9,4,4,0,0,303,2697.565275
7,296.79,0,0,1,2018,5,31,11,0,0,5008,3444.318322
7,281.02,0,0,1,2018,9,29,18,0,0,4569,3834.274444
7,274.55,0,0,1,2016,2,20,7,0,0,2085,2812.596588
7,292.16,0,0,5,2018,6,28,3,0,0,365,2524.068931
7,296.45,0,0,1,2013,7,10,23,0,0,1388,4658.407233
7,286.57,0,0,10,2017,10,6,11,0,0,5043,3118.456157
7,291.24,7.37,0,10,2013,6,30,4,0,0,354,2591.978145
7,263.86,0,0,1,2018,1,7,5,0,0,442,2467.146242
7,293.85,0.57,0,4,2013,9,9,9,0,0,4944,3179.52512
7,302.66,0,0,1,2016,6,19,21,0,0,2677,4525.304006
7,286.532,0,0,0,2016,7,16,7,0,0,1879,2926.308586
7,255.7,0,0,8,2014,1,21,19,0,0,2923,3642.02198
7,292.58,0,0,2,2013,6,9,20,0,0,2579,4311.545016
7,281.29,0,0,1,2012,10,22,0,0,0,498,2145.247971
7,293.49,0,0,1,2016,5,23,2,0,0,349,2550.438678
7,254.23,0,0,0,2018,2,4,21,0,0,2438,3888.59775
7,284.09,0,0,1,2012,10,21,17,0,0,4695,3844.977243
7,295.61,0,0,1,2018,7,5,8,0,0,4440,3129.242086
7,288.65,0,0,5,2017,7,19,4,0,0,1035,2575.384359
7,286.372,0,0,0,2017,2,17,13,0,0,5351,3576.548089
7,297,0,0,1,2018,7,11,9,0,0,5025,3240.869669
7,292.84,0,0,10,2014,7,25,4,0,0,866,2591.632365
7,250.63,0,0,1,2013,1,22,1,0,0,275,1927.573971
7,274.91,0,0,1,2014,3,18,15,0,0,5614,3607.705142
7,254.27,0,0,1,2014,3,3,10,0,0,4136,2834.032142
7,277.22,0,0,1,2018,3,4,15,0,0,4226,3608.477762
7,283.09,0,0,5,2017,5,18,4,0,0,836,2527.324679
7,295.59,0,0,0,2018,7,8,0,0,0,1423,2360.589163
7,291.75,0,0,5,2017,5,17,12,0,0,4990,3435.029674
7,293.01,0,0,4,2017,8,18,13,0,0,5104,3516.572716
7,286.85,0,0,0,2018,9,6,22,0,0,2096,4348.165129
7,292.93,0,0,1,2015,9,10,16,0,0,6606,3868.484923
7,275.02,0,0,1,2017,2,27,23,0,0,1173,4360.635985
7,289.81,0.25,0,1,2013,8,1,6,0,0,5886,2896.858907
7,294.9,0,0,10,2018,5,5,19,0,0,3146,4089.850072
7,289.12,0,0,1,2013,8,1,2,0,0,344,2496.677787
7,299.02,0,0,1,2016,6,26,11,0,0,3893,3489.717709
7,278.02,0,0,4,2013,4,9,0,0,0,539,2150.868318
7,274.97,0,0,1,2013,4,16,11,0,0,4764,3216.368914
7,276.73,0,0,1,2014,3,21,15,0,0,5646,3631.198949
7,251.15,0,0,1,2014,1,1,6,0,0,606,2432.59209
7,264.62,0,0,1,2016,4,9,6,0,0,1539,2549.201093
7,282.65,0,0,0,2017,9,28,0,0,0,605,2130.559309
7,297.63,0,0,1,2013,7,17,1,0,0,434,2523.050421
7,296.29,0,0,4,2018,6,25,11,0,0,4530,3382.520918
7,280.19,0,0,1,2013,10,14,9,0,0,4899,3003.229124
7,273.39,0,0,8,2016,3,18,2,0,0,290,2189.950459
7,273.94,0,0,2,2015,11,30,22,0,0,1123,4108.419426
7,271.93,0,0,1,2018,3,5,18,0,0,1389,3822.697718
7,274.93,0.25,0,4,2014,3,17,17,0,0,5788,3759.479777
7,262.73,0,0,1,2012,12,27,12,0,0,4791,3006.936391
7,278.68,0,0,0,2017,10,10,22,0,0,2101,4220.440373
7,267.95,0,0,0,2017,3,22,9,0,0,5327,2896.061235
7,295.23,0,0,3,2018,9,23,19,0,0,3516,4115.880686
7,271.69,0,0,1,2013,11,26,0,0,0,535,1972.905102
7,265.94,0,0,8,2018,2,25,3,0,0,254,2163.727328
7,276.11,0,0,3,2013,3,9,17,0,0,4361,3811.689166
7,282.09,0,0,1,2016,6,7,6,0,0,5694,2774.387702
7,273.37,0,0,8,2013,4,19,16,0,0,6160,3573.368148
7,271.57,0,0,0,2014,1,29,20,0,0,2700,4082.140076
7,301.29,0,0,0,2017,8,20,16,0,0,4401,3987.530955
7,271.51,0,0,0,2017,11,7,19,0,0,3073,3810.148761
7,296.64,0,0,4,2014,8,3,21,0,0,2899,4400.830407
7,276.89,0,0,4,2017,5,1,22,0,0,2049,4224.468167
7,273.29,0,0,0,2017,11,3,2,0,0,354,2182.508049
7,263.61,0,0,1,2018,1,14,17,0,0,2357,3626.460139
7,285.05,0,0,1,2014,3,30,19,0,0,3018,4133.536817
7,282.55,0,0,0,2017,10,17,2,0,0,309,2319.422718
7,293.01,0,0,5,2018,6,27,0,0,0,678,2244.97235
7,286.66,0,0,5,2013,5,19,2,0,0,639,2430.868792
7,291.77,0,0,4,2017,8,16,9,0,0,4977,3110.453981
7,264.51,0,0,8,2013,12,19,21,0,0,2563,3802.894456
7,252.01,0,0,0,2014,2,7,7,0,0,6208,2535.273082
7,269.03,0,0,1,2014,4,1,11,0,0,4578,3133.211751
7,267.84,0,0,8,2013,3,19,12,0,0,4755,3118.572538
7,271.15,0,0,5,2016,1,25,2,0,0,260,2226.752614
7,255.37,0,0,1,2013,12,30,18,0,0,3041,3469.531631
7,285.47,0,0,1,2016,8,31,5,0,0,2841,2669.312044
7,295.53,0.25,0,4,2018,9,2,13,0,0,4414,3542.022991
7,277.353,0,0,0,2017,2,14,12,0,0,4915,3350.346918
7,255.53,0,0,3,2017,1,15,2,0,0,740,2026.730792
7,274.04,0.25,0,5,2013,12,2,17,0,0,4795,3614.293114
7,286.84,0,0,0,2016,5,2,10,0,0,4345,3269.973482
7,290.46,0,0,4,2013,6,1,3,0,0,438,2601.306749
7,300.71,0,0,0,2015,7,23,14,0,0,4534,3820.720689
7,275.65,0,0,4,2017,11,17,8,0,0,5344,2728.137576
7,278.48,0,0,0,2015,11,23,12,0,0,4844,3236.568
7,274.57,0,0,1,2014,2,18,20,0,0,2985,4106.39478
7,275.87,0,0,4,2013,5,4,16,0,0,4760,3668.810819
7,267.49,0,0,5,2018,2,25,2,0,0,381,2133.475587
7,259.02,0.64,0,4,2014,1,26,2,0,0,477,2087.155852
7,286.2,0,0,0,2016,6,5,2,0,0,704,2461.314552
7,284.6,1.02,0,4,2013,10,15,12,0,0,4989,3314.69969
7,271.79,0,0,1,2013,1,8,19,0,0,2805,4006.525806
7,276.7,0,0,1,2012,11,4,22,0,0,1451,4226.069687
7,291.11,0,0,0,2016,8,24,23,0,0,1169,4529.127317
7,297.888,0,0,0,2016,7,19,0,0,0,602,2406.52456
7,296.77,0,0,0,2017,8,15,18,0,0,4753,4121.68493
7,291.17,0,0,1,2016,7,28,4,0,0,817,2674.257214
7,270.63,0,0,1,2013,3,25,5,0,0,2460,2574.628841
7,260.08,0,0,8,2013,1,24,8,0,0,6256,2642.100705
7,253.76,0,0,1,2013,12,15,17,0,0,3746,3363.988735
7,294.54,0,0,4,2018,6,9,17,0,0,3589,3958.582076
7,286.88,0,0,1,2018,5,19,18,0,0,3640,3994.53038
7,268.62,0,0,3,2017,11,13,2,0,0,207,2059.321624
7,289.11,0,0,0,2016,10,3,10,0,0,4041,3221.736718
7,296.36,0,0,1,2014,7,21,7,0,0,6741,3073.598588
7,284.8,0,0,4,2016,3,15,16,0,0,6503,3784.493078
7,297.888,0,0,0,2016,7,18,23,0,0,1110,4650.440466
7,287.84,0,0,0,2013,8,15,22,0,0,2243,4428.713962
7,255.04,0,0,1,2013,1,23,14,0,0,5212,3258.695267
7,272.76,0.25,0,5,2013,12,28,19,0,0,3206,3763.75859
7,295.87,0,0,0,2013,7,22,13,0,0,5193,3677.239104
7,280.39,0,0,0,2013,11,15,23,0,0,1898,4369.148849
7,287.29,0,0,1,2018,5,10,15,0,0,6364,3717.270623
7,268.9,0,0,0,2017,1,1,6,0,0,821,2671.239902
7,271.58,0,0,1,2017,11,16,11,0,0,4943,3006.867026
7,295.58,0,0,1,2018,6,1,21,0,0,3519,4416.727514
7,296.48,0,0,1,2015,7,2,13,0,0,5201,3668.222094
7,276.95,0,0,2,2017,5,2,6,0,0,6022,2693.78978
7,282.22,0,0,0,2016,11,17,22,0,0,3527,4260.720646
7,270.5,0,0,5,2013,11,7,3,0,0,346,2208.210053
7,262.57,0,0,1,2014,2,8,18,0,0,4256,3746.351824
7,263.11,0,0,5,2013,12,16,22,0,0,1528,3927.670788
7,285.91,0.7,0,4,2016,5,11,19,0,0,3243,4065.3369
7,276.87,0,0,5,2015,12,12,23,0,0,2083,4206.656373
7,294.15,0,0,5,2015,9,2,22,0,0,1928,4420.188546
7,291.37,0,0,0,2013,6,3,16,0,0,6674,3939.742004
7,295.08,0,0,5,2015,7,3,21,0,0,2740,4367.376643
7,284.84,0,0,1,2017,4,5,16,0,0,6614,3812.09056
7,291,0,0,1,2017,8,27,23,0,0,1195,4497.686492
7,270.99,0,0,1,2017,3,8,21,0,0,2544,4110.274305
7,276.249,0,0,1,2017,2,18,21,0,0,3219,4192.859971
7,282.01,0,0,2,2017,5,18,6,0,0,5656,2751.193676
7,268.48,0,0,0,2014,3,20,3,0,0,387,2356.356951
7,271.95,0,0,8,2017,3,1,3,0,0,375,2272.129779
7,254.02,0,0,1,2014,3,1,18,0,0,3897,3612.578785
7,282.49,0,0,5,2017,9,7,1,0,0,357,2173.075529
7,249.15,0,0,8,2013,12,24,5,0,0,1342,2013.023934
7,292.46,0,0,1,2017,6,25,17,0,0,3909,3968.13545
7,295.17,0,0,0,2015,7,1,18,0,0,4604,4152.569181
7,286.81,0.47,0,4,2013,6,10,10,0,0,4245,3221.351551
7,248.27,0,0,1,2014,1,5,19,0,0,2022,3654.093216
7,293.31,0,0,5,2016,9,7,5,0,0,2874,2733.103904
7,272.13,0,0,1,2013,2,18,17,0,0,5066,3790.053531
7,268.39,0,0,8,2012,12,21,10,0,0,4985,2796.70051
7,271.39,0,0,1,2013,11,7,0,0,0,574,1988.153389
7,301.53,0,0,1,2015,7,24,14,0,0,5512,3816.796979
7,274.85,0,0,5,2018,4,23,7,0,0,6574,2698.519551
7,288.15,0,0,5,2017,4,15,10,0,0,3876,3205.534723
7,281.95,0,0,1,2013,5,10,18,0,0,5159,3991.101151
7,272.71,0,0,1,2016,11,19,3,0,0,505,2252.007141
7,300.48,0,0,0,2017,7,4,13,0,0,3108,3715.752005
7,292.38,0,0,0,2015,9,21,10,0,0,4642,3278.854953
7,286.38,0,0,0,2014,6,3,6,0,0,6071,2879.800908
7,251.72,0,0,0,2016,12,13,5,0,0,2830,2145.334849
7,291.04,0,0,10,2016,9,16,10,0,0,4416,3103.858017
7,266.86,0,0,1,2013,3,7,4,0,0,782,2440.624107
7,295.48,0,0,1,2016,6,24,11,0,0,4874,3440.05826
7,289.82,0,0,0,2018,7,27,1,0,0,456,2354.163567
7,291.55,0,0,0,2017,10,20,11,0,0,5071,3325.47936
7,282.7,0,0,5,2016,5,12,4,0,0,916,2539.687168
7,267.29,0,0,1,2017,12,22,21,0,0,3096,3897.074536
7,299.73,0,0,0,2016,6,11,10,0,0,4356,3432.946485
7,290.47,0,0,1,2013,9,17,11,0,0,4816,3361.446961
7,275.14,0.25,0,5,2015,12,23,6,0,0,4708,2512.261628
7,296.43,0,0,4,2017,9,22,7,0,0,6778,2961.237928
7,294.62,0,0,0,2018,8,13,8,0,0,5642,3105.308005
7,290.56,0,0,0,2013,5,25,13,0,0,4537,3628.699368
7,279.568,0,0,0,2016,10,7,9,0,0,4594,2980.660764
7,293.81,0,0,1,2015,9,7,22,0,0,1606,4469.54294
7,298.83,0,0,0,2016,9,11,17,0,0,4405,4054.188828
7,253.14,0,0,0,2014,2,25,4,0,0,864,2240.635977
7,250.77,0,0,1,2014,3,2,0,0,0,1024,1808.757543
7,298.63,0,0,5,2014,7,22,5,0,0,3022,2851.212267
7,287.39,0.25,0,10,2016,5,9,20,0,0,2650,4097.254234
7,276.89,0,0,0,2015,9,30,5,0,0,3021,2555.634877
7,293.24,0,0,0,2014,7,16,10,0,0,4738,3340.597968
7,288.84,0,0,2,2017,4,14,14,0,0,5705,3651.333228
7,284.35,0,0,2,2017,3,6,10,0,0,4296,3219.999983
7,285.51,0,0,1,2013,10,5,16,0,0,5134,3772.879932
7,270.55,0,0,1,2018,3,18,9,0,0,2776,2911.451314
7,295.07,0.51,0,10,2016,7,27,17,0,0,5863,3866.209486
7,262.86,0,0,1,2016,1,15,22,0,0,3324,4125.774343
7,290.79,0,0,5,2015,8,28,8,0,0,5878,2995.069659
7,288.32,0.25,0,4,2016,9,25,18,0,0,4255,3924.213021
7,286.81,0,0,1,2018,4,21,16,0,0,5027,3812.482249
7,252.81,0,0,1,2013,1,22,16,0,0,6331,3422.177365
7,278.19,0,0,0,2015,10,14,0,0,0,548,2087.504696
7,257.82,0,0,5,2013,12,23,1,0,0,362,1795.291927
7,293.43,0,0,0,2015,8,30,22,0,0,1792,4471.172231
7,277.86,0,0,1,2018,1,26,18,0,0,4811,3919.796617
7,280.96,0,0,4,2013,5,23,8,0,0,6092,2943.420209
7,273.71,0,0,8,2016,1,8,10,0,0,4428,3017.240862
7,294.23,2.61,0,4,2015,8,9,15,0,0,4175,3762.793094
7,268.08,0,0,5,2012,12,18,13,0,0,5433,3132.437035
7,282.15,0,0,0,2015,11,9,22,0,0,1428,4279.825438
7,295.72,0,0,0,2017,6,14,10,0,0,4555,3359.391609
7,278.02,0,0,4,2013,4,9,0,0,0,539,2150.868318
7,257.55,0,0,3,2016,12,14,12,0,0,4944,2867.488631
7,290.4,0.76,0,2,2015,8,18,22,0,0,1820,4409.651503
7,290.1,1.52,0,3,2018,8,28,5,0,0,3161,2686.794124
7,293.73,0.56,0,4,2013,9,9,8,0,0,6292,3080.253765
7,299.9,0,0,1,2013,8,22,11,0,0,5205,3510.144939
7,299.44,0,0,0,2017,7,27,12,0,0,5161,3579.274179
7,296.53,6.6,0,4,2013,8,30,6,0,0,5413,2921.29243
7,286.9,0,0,0,2018,5,21,0,0,0,652,2252.328816
7,277.85,0,0,1,2012,12,7,0,0,0,629,2078.333056
7,288.86,0,0,2,2017,6,20,4,0,0,826,2638.1106
7,287.43,0.51,0,4,2014,5,12,4,0,0,780,2647.462652
7,278.28,0,0,1,2016,3,7,7,0,0,6860,2864.456629
7,289.15,0,0,1,2017,5,24,17,0,0,6011,3936.877956
7,274.59,0,0,5,2017,4,21,7,0,0,6703,2708.648561
7,274.15,0,0,8,2016,11,22,10,0,0,4070,2848.45968
7,277.15,0,0,1,2013,11,17,15,0,0,4345,3524.734666
7,287.69,0.98,0,4,2014,5,10,21,0,0,3024,4311.171972
7,299.75,0,0,1,2017,9,11,16,0,0,7117,3943.381339
7,271.43,0,0,1,2013,11,29,21,0,0,2552,4013.855633
7,274.62,0,0,8,2017,3,18,0,0,0,1556,2001.028181
7,274.51,0,0,0,2018,4,22,3,0,0,465,2378.879101
7,275.18,0,0,1,2014,4,14,14,0,0,5044,3502.192242
7,256.28,0,0,8,2013,12,23,4,0,0,644,2020.723061
7,288.29,0,0,1,2018,5,21,23,0,0,1060,4500.649767
7,270.46,0,0,0,2018,4,17,4,0,0,898,2422.384009
7,263.93,0,0,0,2017,1,30,4,0,0,818,2373.621329
7,285.43,0,0,5,2017,9,1,4,0,0,853,2514.783816
7,281.469,0,0,0,2016,11,1,8,0,0,5467,2901.046305
7,290.31,0.51,0,4,2018,9,20,13,0,0,4459,3447.184222
7,298.62,0,0,1,2018,7,22,20,0,0,3135,4325.858073
7,286.01,0,0,1,2017,11,27,13,0,0,4659,3401.383529
7,283.94,0,0,5,2018,5,11,18,0,0,5138,3900.348874
7,262.34,0,0,0,2017,1,15,11,0,0,3617,3048.503765
7,292.44,0,0,1,2018,8,21,13,0,0,4762,3537.899137
7,294.87,0,0,0,2014,7,6,1,0,0,711,2497.098104
7,264.86,0,0,8,2018,2,3,13,0,0,3562,3145.844505
7,255.07,0,0,8,2018,2,7,9,0,0,5343,2608.5949
7,293.42,0,0,1,2014,7,5,6,0,0,1118,2949.655183
7,293.64,0,0,0,2015,8,21,23,0,0,1868,4581.056651
7,269.47,0,0,1,2013,2,12,9,0,0,5011,2977.252436
7,293.77,0,0,4,2014,8,4,9,0,0,5100,3187.661491
7,281.75,0,0,1,2013,5,10,19,0,0,3748,4085.695417
7,275.02,0,0,1,2017,1,21,0,0,0,1117,2140.027346
7,292.27,0,0,0,2013,6,14,10,0,0,4639,3356.427046
7,293.93,0,0,5,2014,7,1,14,0,0,5857,3681.884645
7,299.13,0,0,0,2016,6,8,15,0,0,5752,3914.862323
7,289.82,0,0,4,2013,9,14,16,0,0,4588,3798.015682
7,272.12,0,0,1,2012,12,10,14,0,0,4205,3356.740294
7,256.49,0,0,1,2014,1,2,16,0,0,5415,3484.752498
7,282.51,0,0,1,2015,11,25,12,0,0,5551,3278.515082
7,289.82,0,0,0,2013,9,13,19,0,0,4027,4151.087547
7,293.8,0,0,4,2014,7,11,11,0,0,5177,3391.974819
7,284.55,0,0,1,2017,5,30,6,0,0,5710,2790.780898
7,295.12,0,0,0,2015,7,8,18,0,0,4523,4144.605804
7,291.75,0,0,5,2018,5,31,8,0,0,5912,3018.635975
7,277.49,0,0,0,2017,3,31,23,0,0,1966,4391.391933
7,290.39,0,0,0,2013,7,3,0,0,0,705,2349.081714
